,magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,depth,latitude,longitude
1482,7.2,8,7,0,1054,397,0.0,30.1,24.0,-38.355,-73.326
1483,7.3,0,5,0,820,409,0.0,12.0,16.0,-19.702,167.947
1484,6.7,3,7,0,708,279,0.0,24.3,12.0,28.412,59.18
1485,6.6,0,6,0,670,306,0.0,18.5,33.0,-6.001,149.977
1486,7.8,4,7,0,946,379,0.0,23.0,20.1,-3.487,100.082
1487,6.7,5,5,0,776,352,0.0,50.3,13.0,24.696,-109.156
1488,7.0,8,5,0,772,271,0.0,15.1,26.0,-4.963,133.76
1489,7.0,8,8,0,1245,365,0.0,15.8,12.0,-43.522,171.83
1490,7.1,6,5,0,945,672,0.0,12.4,206.7,-1.266,-77.306
1491,7.3,7,7,0,850,405,0.0,20.2,25.0,-17.541,168.069
1492,7.0,4,6,0,757,396,0.0,12.7,44.0,-5.746,150.765
1493,6.5,5,4,0,659,403,0.0,11.1,220.0,-5.486,146.822
1494,7.6,5,3,0,902,340,0.0,15.1,578.0,6.497,123.48
1495,7.3,8,7,0,831,397,0.0,18.2,35.0,-5.931,150.59
1496,6.9,4,7,0,737,456,0.0,15.7,28.0,-5.966,150.428
1497,6.6,6,7,0,753,295,0.0,52.8,22.0,-38.067,-73.31
1498,6.7,5,6,0,696,392,0.0,18.7,35.0,-10.627,161.447
1499,6.6,0,7,0,670,309,0.0,25.0,10.5,-2.329,136.484
1500,7.0,3,7,0,755,307,0.0,18.1,18.0,-2.174,136.543
1501,7.5,6,5,0,1144,514,0.0,18.6,35.0,7.881,91.936
1502,7.2,5,6,0,804,327,0.0,11.7,31.0,-13.698,166.643
1503,7.2,5,6,0,918,611,0.0,20.6,38.0,3.748,96.018
1504,6.9,6,9,0,773,410,0.0,14.9,17.0,33.165,96.548
1505,6.9,4,5,0,740,399,0.0,12.1,21.0,-10.878,161.116
1506,7.8,0,7,0,936,352,0.0,19.2,31.0,2.383,97.048
1507,7.2,9,9,0,2910,10,0.5137,239.0,9.987,32.2862,-115.295
1508,6.6,5,6,0,701,413,0.0,16.7,34.0,13.667,92.831
1509,6.7,5,6,0,856,312,0.0,34.7,18.0,-36.217,-73.257
1510,6.5,6,5,0,810,491,0.0,27.0,32.0,37.745,141.59
1511,7.0,7,7,0,874,403,0.0,17.1,18.0,-34.326,-71.799
1512,6.9,7,7,0,1280,415,0.0,12.5,11.0,-34.29,-71.891
1513,6.8,4,6,0,717,401,0.0,23.2,26.0,-3.762,100.991
1514,6.6,7,7,0,736,255,0.0,27.8,18.0,-36.665,-73.374
1515,6.5,0,4,0,650,426,0.0,18.7,176.0,-13.571,167.227
1516,7.4,0,5,0,842,409,0.0,17.6,35.0,-37.773,-75.048
1517,8.8,8,8,0,1991,454,0.0,17.8,22.9,-36.122,-72.898
1518,7.0,6,6,0,1180,487,0.0,15.7,25.0,25.93,128.425
1519,7.0,9,9,0,1623,500,0.0,22.7,13.0,18.443,-72.571
1520,6.5,7,7,0,1360,51,0.3225,220.0,28.737,40.652,-124.692
1521,6.8,3,6,0,713,338,0.0,15.0,15.4,-9.019,157.551
1522,7.1,5,7,0,780,377,0.0,15.0,10.0,-8.783,157.354
1523,6.6,5,7,0,672,282,0.0,16.6,10.0,-8.726,157.487
1524,6.5,6,7,0,698,390,0.0,17.7,27.0,-19.394,-70.321
1525,7.3,0,4,0,820,430,0.0,15.0,595.0,-17.239,178.331
1526,6.6,7,6,0,677,305,0.0,20.4,18.0,-8.207,118.631
1527,6.8,0,6,0,711,424,0.0,21.4,34.0,29.218,129.782
1528,6.9,4,6,0,972,397,0.0,11.0,130.0,-6.133,130.385
1529,6.8,0,5,0,711,174,0.0,30.2,35.0,-13.298,165.91
1530,7.4,0,7,0,842,314,0.0,20.2,31.1,-13.093,166.497
1531,7.8,0,6,0,936,195,0.0,20.3,35.0,-12.517,166.382
1532,7.7,4,7,0,916,283,0.0,23.2,45.0,-13.006,166.51
1533,6.6,7,7,0,787,417,0.0,30.1,9.0,-2.482,101.524
1534,7.6,8,8,0,1639,498,0.0,14.0,81.0,-0.72,99.867
1535,8.1,7,6,0,1055,520,0.0,20.8,18.0,-15.489,-172.095
1536,7.0,7,7,0,1175,312,0.0,16.3,46.0,-7.782,107.297
1537,6.7,5,6,0,753,369,0.0,14.9,20.0,-1.479,99.49
1538,6.6,4,5,0,703,336,0.0,14.1,53.0,32.821,140.395
1539,7.5,7,6,0,1248,303,0.0,18.2,24.0,14.099,92.902
1540,7.1,5,4,0,1005,447,0.0,14.2,292.0,33.167,137.944
1541,6.9,5,7,0,1202,243,0.0,35.0,10.0,29.039,-112.903
1542,7.8,6,8,0,1165,434,0.0,16.8,12.0,-45.762,166.562
1543,6.7,5,5,0,693,269,0.0,13.8,64.0,-5.157,153.782
1544,7.3,7,8,0,1560,464,0.0,27.2,19.0,16.731,-86.217
1545,7.6,7,5,0,916,504,0.0,14.0,31.0,-23.043,-174.66
1546,7.2,3,7,0,802,432,0.0,18.6,20.0,3.886,126.387
1547,7.4,7,7,0,846,314,0.0,21.1,23.0,-0.691,133.305
1548,6.6,5,4,0,765,344,0.0,22.6,204.8,36.419,70.743
1549,7.7,5,7,0,918,288,0.0,29.8,17.0,-0.414,132.885
1550,7.4,9,7,0,848,365,0.0,33.7,30.0,1.271,122.091
1551,6.7,5,6,0,731,481,0.0,28.6,24.0,14.423,-92.364
1552,6.7,0,6,0,691,529,0.0,22.3,27.4,39.533,73.824
1553,6.8,0,6,0,711,500,0.0,22.2,25.0,41.892,143.754
1554,6.6,0,6,0,670,463,0.0,14.1,96.0,1.885,127.363
1555,6.9,0,6,0,732,531,0.0,14.9,110.0,-13.501,166.967
1556,6.7,4,7,0,692,325,0.0,28.0,12.0,30.901,83.52
1557,6.8,8,7,0,1046,633,0.0,20.2,108.0,39.802,141.464
1558,7.0,5,5,0,840,577,0.0,18.2,22.0,37.552,142.214
1559,6.9,5,5,0,825,0,0.0,0.0,25.5,37.55,142.714
1560,6.6,4,5,0,680,630,0.0,18.4,17.0,11.005,91.824
1561,6.9,7,8,0,888,654,0.0,17.1,7.8,39.03,140.881
1562,7.9,9,9,0,1870,774,0.0,11.3,19.0,31.002,103.322
1563,6.9,5,5,0,910,519,0.0,21.1,27.0,36.164,141.526
1564,7.3,0,6,0,820,486,0.0,13.4,33.0,-20.071,168.892
1565,7.2,0,7,0,798,532,0.0,25.9,10.0,35.49,81.467
1566,6.9,4,5,0,740,544,0.0,25.9,24.0,13.351,125.63
1567,6.7,5,6,0,696,543,0.0,15.1,25.0,-2.245,99.808
1568,6.6,4,6,0,674,421,0.0,17.7,25.0,-2.332,99.891
1569,7.2,4,7,0,832,505,0.0,18.4,25.0,-2.486,99.972
1570,6.5,4,6,0,654,429,0.0,28.3,22.0,-2.405,99.931
1571,7.4,5,7,0,914,607,0.0,16.4,26.0,2.768,95.964
1572,6.5,8,5,0,692,650,0.0,30.7,28.0,36.345,21.863
1573,6.9,6,6,0,941,645,0.0,30.6,29.0,36.501,21.67
1574,6.5,7,6,0,723,521,0.0,27.6,83.0,16.357,-94.304
1575,6.6,7,6,0,808,461,0.0,18.8,20.0,-39.011,178.291
1576,6.7,5,7,0,704,481,0.0,30.3,45.0,-22.954,-70.182
1577,7.4,7,7,0,1542,663,0.0,13.4,156.0,14.944,-61.274
1578,6.6,3,6,0,672,280,0.0,26.9,16.0,-10.95,162.149
1579,6.5,5,7,0,653,272,0.0,27.6,18.0,-8.224,118.467
1580,6.5,7,7,0,657,353,0.0,27.5,20.0,-8.292,118.37
1581,6.8,6,6,0,722,341,0.0,15.9,53.0,-5.757,147.098
1582,6.8,7,6,0,790,649,0.0,27.0,122.9,-2.312,-77.838
1583,6.8,6,7,0,716,285,0.0,40.1,26.0,-22.925,-70.237
1584,7.7,8,7,0,995,610,0.0,22.4,40.0,-22.247,-69.89
1585,6.8,3,5,0,713,494,0.0,23.9,21.0,-3.899,101.02
1586,6.8,4,7,0,744,338,0.0,19.0,18.0,-44.796,167.553
1587,6.8,4,5,0,713,348,0.0,15.5,40.0,-4.99,153.5
1588,6.7,3,5,0,696,503,0.0,26.9,30.0,-1.999,100.141
1589,7.0,4,7,0,768,537,0.0,23.1,22.0,-2.13,99.627
1590,6.5,0,5,0,650,409,0.0,26.2,28.9,-1.689,99.668
1591,7.9,8,7,0,1133,446,0.0,29.1,35.0,-2.625,100.841
1592,7.8,7,8,0,1152,0,0.0,0.0,40.5,-2.52,100.139
1593,8.4,0,6,0,1086,411,0.0,32.3,34.0,-4.438,101.367
1594,6.8,5,6,0,747,653,0.0,17.6,15.0,2.966,-77.963
1595,7.2,0,5,0,798,312,0.0,21.3,35.0,-11.61,165.762
1596,6.5,5,6,0,675,382,0.0,12.8,15.0,-9.834,159.465
1597,8.0,9,8,0,1385,625,0.0,25.7,39.0,-13.386,-76.603
1598,7.5,0,5,0,865,228,0.0,30.7,280.0,-5.859,107.419
1599,7.2,7,7,0,803,494,0.0,20.4,120.0,-15.595,167.68
1600,6.9,3,5,0,734,374,0.0,24.1,25.0,2.872,127.464
1601,6.8,5,4,0,779,664,0.0,18.2,350.4,36.808,134.85
1602,6.6,8,8,0,831,782,0.0,16.7,12.0,37.535,138.446
1603,6.7,6,6,0,972,468,0.0,37.7,23.0,13.554,-90.618
1604,6.9,0,7,0,732,305,0.0,15.3,10.0,-7.306,155.741
1605,6.6,0,7,0,670,251,0.0,16.0,10.0,-7.169,155.777
1606,8.1,9,8,0,1025,439,0.0,14.7,24.0,-8.466,157.043
1607,6.7,7,8,0,782,493,0.0,23.9,8.0,37.336,136.588
1608,7.1,3,6,0,779,426,0.0,25.3,34.0,-20.617,169.357
1609,6.7,0,6,0,691,253,0.0,40.3,12.0,-1.034,126.976
1610,7.5,6,5,0,874,570,0.0,21.6,22.0,1.065,126.282
1611,8.1,4,5,0,1034,606,0.0,14.0,10.0,46.243,154.524
1612,6.9,6,7,0,798,466,0.0,31.6,10.0,21.974,120.493
1613,7.1,8,7,0,1023,744,0.0,29.1,10.0,21.799,120.547
1614,8.3,4,7,0,1064,576,0.0,20.9,10.0,46.592,153.266
1615,6.6,0,6,0,670,352,0.0,18.6,11.0,-6.482,151.195
1616,6.7,5,6,0,732,444,0.0,53.4,23.0,-13.457,-76.677
1617,6.7,5,6,0,692,533,0.0,15.6,32.0,-5.881,150.982
1618,6.7,8,9,0,1481,43,0.0,124.0,38.182,19.877,-155.935
1619,6.9,3,3,0,737,702,0.0,20.9,28.0,-16.592,-172.033
1620,6.8,0,6,0,711,459,0.0,28.4,38.0,-6.759,155.512
1621,6.5,0,6,0,650,700,0.0,47.4,43.0,51.148,157.522
1622,6.8,5,5,0,713,551,0.0,26.2,150.0,-15.798,167.789
1623,7.7,7,5,0,947,357,0.0,36.8,20.0,-9.284,107.419
1624,6.5,0,6,0,650,477,0.0,20.3,34.0,-5.724,151.133
1625,6.6,0,7,0,670,548,0.0,28.0,19.0,60.772,165.743
1626,6.8,4,5,0,719,701,0.0,16.3,12.0,0.093,97.05
1627,8.0,7,7,0,1013,626,0.0,20.7,55.0,-20.187,-174.123
1628,8.0,8,9,0,1026,0,0.0,0.0,60.5,-19.99,-173.907
1629,6.5,7,7,0,653,282,0.0,46.3,12.0,-27.211,-71.056
1630,6.7,6,7,0,696,277,0.0,25.6,12.0,-27.017,-71.022
1631,6.6,0,8,0,670,645,0.0,28.4,11.0,60.491,167.516
1632,7.6,0,8,0,889,579,0.0,18.5,22.0,60.949,167.089
1633,6.5,3,5,0,654,247,0.0,25.5,14.0,-16.527,176.989
1634,6.7,0,7,0,691,306,0.0,21.3,30.1,-3.595,127.214
1635,7.0,5,9,0,891,412,0.0,23.2,11.0,-21.324,33.583
1636,6.7,7,6,0,934,769,0.0,19.7,66.0,36.311,23.212
1637,6.6,7,6,0,703,323,0.0,48.2,14.0,28.164,-112.117
1638,6.5,6,5,0,721,529,0.0,20.5,224.6,36.357,71.093
1639,6.8,5,7,0,744,561,0.0,20.0,22.0,-6.224,29.83
1640,6.5,4,5,0,683,464,0.0,48.8,29.0,38.089,142.122
1641,6.5,3,6,0,651,358,0.0,20.7,21.0,2.164,96.786
1642,6.8,0,6,0,711,509,0.0,30.1,147.0,-22.361,-67.895
1643,7.6,9,9,0,1267,724,0.0,21.1,26.0,34.539,73.588
1644,6.6,0,6,0,670,402,0.0,17.7,25.0,-5.437,151.84
1645,7.5,8,7,0,1018,696,0.0,26.2,115.0,-5.678,-76.398
1646,7.6,5,7,0,891,502,0.0,20.0,90.0,-4.539,153.474
1647,7.2,7,7,0,1104,698,0.0,19.6,36.0,38.276,142.039
1648,7.2,4,5,0,808,636,0.0,26.4,16.0,7.92,92.19
1649,6.7,3,6,0,693,398,0.0,22.3,21.0,1.819,97.082
1650,6.6,6,5,0,719,446,0.0,21.1,27.0,11.245,-86.172
1651,7.2,5,4,0,1318,420,0.0,31.4,16.0,41.292,-125.953
1652,7.8,8,7,0,1020,714,0.0,16.1,115.6,-19.987,-69.197
1653,6.9,5,7,0,740,635,0.0,26.0,30.0,1.989,97.041
1654,6.7,6,5,0,731,695,0.0,20.9,34.0,0.587,98.459
1655,6.5,3,6,0,657,478,0.0,21.2,30.0,-1.714,99.779
1656,6.7,5,6,0,717,656,0.0,21.2,19.0,-1.644,99.607
1657,8.6,0,8,0,1138,510,0.0,22.1,30.0,2.085,97.108
1658,6.6,8,7,0,805,401,0.0,22.9,10.0,33.807,130.131
1659,7.1,0,5,0,776,569,0.0,18.1,201.7,-6.527,129.933
1660,6.8,0,6,0,711,444,0.0,33.8,36.0,2.908,95.592
1661,6.5,0,7,0,650,371,0.0,31.8,10.0,-5.562,122.129
1662,6.5,3,5,0,652,286,0.0,47.3,39.7,4.756,126.421
1663,6.7,0,4,0,691,457,0.0,30.2,206.3,-14.252,167.259
1664,7.1,7,3,0,782,640,0.0,26.4,525.0,5.293,123.337
1665,6.6,6,4,0,676,225,0.0,78.5,27.8,34.064,141.491
1666,6.6,0,5,0,670,353,0.0,31.9,16.1,8.879,92.375
1667,7.2,5,6,0,802,385,0.0,27.9,39.2,6.91,92.958
1668,9.1,0,8,0,1274,601,0.0,22.0,30.0,3.295,95.982
1669,8.1,0,5,0,1009,331,0.0,59.3,10.0,-49.312,161.345
1670,6.8,5,6,0,858,639,0.0,21.8,10.0,18.958,-81.409
1671,6.8,4,7,0,724,759,0.0,23.6,35.0,42.9,145.228
1672,7.0,4,7,0,771,929,0.0,23.9,39.0,43.006,145.119
1673,7.1,0,7,0,776,439,0.0,28.8,10.0,-3.609,135.404
1674,7.1,5,5,0,782,585,0.0,14.7,10.0,-46.676,164.721
1675,7.2,8,8,0,820,708,0.0,50.2,15.0,4.695,-77.508
1676,7.5,5,7,0,870,301,0.0,33.8,10.0,-8.152,124.868
1677,6.7,0,6,0,691,233,0.0,21.5,10.0,-11.128,162.208
1678,6.7,7,4,0,703,459,0.0,37.3,10.0,49.277,-128.772
1679,6.6,0,8,0,670,782,0.0,37.0,16.0,37.226,138.779
1680,6.7,5,6,0,705,698,0.0,24.7,94.0,24.53,122.694
1681,7.0,0,6,0,754,441,0.0,32.2,35.0,11.422,-86.665
1682,6.5,5,5,0,665,526,0.0,18.3,105.0,13.925,120.534
1683,6.8,0,6,0,711,545,0.0,15.7,36.0,-10.951,162.161
1684,6.6,0,4,0,670,478,0.0,29.8,10.0,33.205,137.227
1685,7.4,0,5,0,842,594,0.0,27.5,10.0,33.184,137.071
1686,7.2,0,5,0,798,643,0.0,28.4,14.0,33.07,136.618
1687,6.5,0,7,0,650,349,0.0,30.1,5.0,-35.173,-70.525
1688,6.5,0,7,0,650,305,0.0,39.0,13.4,-0.443,133.091
1689,6.9,0,5,0,732,798,0.0,31.2,188.6,55.682,160.003
1690,6.6,0,7,0,670,282,0.0,46.9,21.0,-37.695,-73.406
1691,6.7,0,5,0,691,386,0.0,27.6,65.8,-9.362,122.839
1692,6.5,0,4,0,650,424,0.0,29.9,228.4,-13.174,167.198
1693,6.6,0,4,0,670,728,0.0,18.3,187.1,36.512,71.029
1694,6.7,0,7,0,691,256,0.0,33.3,25.7,-3.665,135.339
1695,7.3,0,7,0,820,390,0.0,23.0,10.0,-4.003,135.023
1696,7.0,0,7,0,754,367,0.0,33.0,16.6,-3.615,135.538
1697,6.7,0,6,0,691,243,0.0,42.5,17.4,-3.12,127.4
1698,7.3,0,4,0,820,235,0.0,46.6,10.0,-22.015,169.766
1699,6.6,0,9,0,670,552,0.0,44.8,10.0,28.995,58.311
1700,6.5,0,6,0,650,405,0.0,48.4,33.0,8.416,-82.824
1701,6.5,7,9,0,1390,65,0.04685,71.0,8.382,35.7005,-121.101
1702,6.8,0,7,0,711,447,0.0,27.7,10.0,23.039,121.362
1703,6.6,0,6,0,670,384,0.0,25.1,35.0,-5.581,150.88
1704,6.5,0,6,0,650,487,0.0,45.9,35.0,12.025,125.416
1705,6.6,0,5,0,670,475,0.0,26.2,113.7,-19.262,168.892
1706,7.0,0,5,0,754,568,0.0,61.2,10.0,37.812,142.619
1707,6.7,0,6,0,691,556,0.0,55.4,32.0,42.648,144.57
1708,6.7,0,7,0,691,643,0.0,24.5,10.0,50.211,87.721
1709,6.5,0,5,0,650,586,0.0,71.3,25.0,42.45,144.38
1710,7.3,0,7,0,820,667,0.0,24.5,16.0,50.038,87.813
1711,7.4,0,7,0,842,514,0.0,78.8,33.0,41.774,143.593
1712,8.16,0,9,0,1024,0,0.0,0.0,27.0,41.815,143.91
1713,6.6,0,7,0,670,518,0.0,24.7,10.0,19.917,95.672
1714,7.2,0,7,0,798,428,0.0,17.5,28.0,-45.104,167.144
1715,7.6,0,6,0,889,315,0.0,25.2,10.0,-60.532,-43.411
1716,6.5,0,6,0,650,156,0.0,31.4,33.0,-3.828,152.174
1717,6.8,0,7,0,711,398,0.0,39.1,33.0,-30.608,-71.637
1718,6.9,0,5,0,732,733,0.0,26.7,174.8,55.492,159.999
1719,6.6,0,6,0,670,419,0.0,27.8,33.0,-5.095,152.502
1720,7.0,0,6,0,754,473,0.0,30.3,31.0,2.354,128.855
1721,7.0,0,7,0,754,690,0.0,19.1,68.0,38.849,141.568
1722,6.8,0,9,0,711,534,0.0,19.4,12.0,36.964,3.634
1723,6.5,0,7,0,650,247,0.0,28.7,33.0,-8.294,120.743
1724,6.8,0,7,0,711,431,0.0,38.4,40.2,-4.694,153.238
1725,7.6,0,7,0,889,551,0.0,0.0,24.0,18.77,-104.104
1726,6.5,0,6,0,650,316,0.0,0.0,24.0,13.626,-90.774
1727,7.3,0,6,0,820,457,0.0,0.0,33.0,-10.491,160.77
1728,6.7,0,5,0,691,323,0.0,0.0,71.9,-5.311,153.701
1729,6.7,0,6,0,691,453,0.0,0.0,34.0,-4.786,153.275
1730,7.9,8,9,0,1750,0,0.0,0.0,4.2,63.5141,-147.453
1731,7.4,0,7,0,842,418,0.0,0.0,30.0,2.824,96.085
1732,6.6,0,7,0,670,0,0.0,0.0,4.2,63.5144,-147.912
1733,6.7,0,7,0,691,250,0.0,0.0,10.0,-1.511,133.973
1734,7.6,0,7,0,889,375,0.0,0.0,10.0,-1.757,134.297
1735,6.5,0,6,0,650,646,0.0,0.0,21.0,13.036,93.068
1736,7.6,0,7,0,889,428,0.0,0.0,13.0,-3.302,142.945
1737,6.5,0,4,0,650,260,0.0,0.0,30.0,14.101,146.199
1738,6.5,0,7,0,650,533,0.0,0.0,10.0,7.929,-82.793
1739,6.5,0,8,0,650,555,0.0,0.0,10.0,35.626,49.047
1740,6.6,0,7,0,670,420,0.0,0.0,54.0,-30.805,-71.124
1741,6.7,0,5,0,691,272,0.0,0.0,33.0,-12.592,166.383
1742,7.1,0,7,0,776,257,0.0,0.0,85.7,13.088,144.619
1743,6.7,0,7,0,691,462,0.0,0.0,62.0,-27.535,-70.586
1744,6.8,0,6,0,711,292,0.0,0.0,24.9,16.985,-100.865
1745,7.1,0,6,0,776,550,0.0,0.0,32.8,24.279,122.179
1746,6.5,0,5,0,650,486,0.0,0.0,125.1,-21.663,-68.329
1747,7.5,0,7,0,865,321,0.0,0.0,31.0,6.033,124.249
1748,7.4,0,5,0,842,138,0.0,0.0,225.6,36.502,70.482
1749,6.6,0,6,0,670,444,0.0,0.0,39.0,-5.345,151.248
1750,6.5,0,7,0,650,482,0.0,0.0,5.0,38.573,31.271
1751,6.7,0,8,0,691,333,0.0,0.0,11.0,-3.212,142.427
1752,6.6,0,6,0,670,386,0.0,0.0,10.0,-17.664,168.004
1753,7.2,0,6,0,798,427,0.0,0.0,21.0,-17.6,167.856
1754,6.8,0,7,0,711,385,0.0,0.0,16.0,-9.613,159.53
1755,6.8,0,5,0,711,499,0.0,0.0,14.0,23.954,122.734
1756,6.5,0,5,0,650,605,0.0,0.0,123.8,39.402,141.089
1757,7.8,0,9,0,936,368,0.0,0.0,10.0,35.946,90.541
1758,7.0,0,7,0,754,254,0.0,0.0,33.0,-5.912,150.196
1759,7.5,0,6,0,865,234,0.0,0.0,33.0,-4.102,123.907
1760,7.0,0,6,0,754,482,0.0,0.0,37.0,12.686,144.98
1761,6.5,0,6,0,650,174,0.0,0.0,33.0,-0.578,133.13
1762,6.6,6,6,0,754,0,0.0,0.0,131.8,58.775,-154.701
1763,6.5,0,8,0,650,483,0.0,0.0,10.0,39.059,24.244
1764,7.6,0,7,0,889,398,0.0,0.0,33.0,-17.543,-72.077
1765,6.6,0,7,0,670,324,0.0,0.0,62.0,-16.086,-73.987
1766,6.7,0,6,0,691,422,0.0,0.0,24.0,-17.745,-71.649
1767,8.4,0,8,0,1086,518,0.0,0.0,33.0,-16.265,-73.641
1768,6.7,0,6,0,691,282,0.0,0.0,17.0,-7.41,155.865
1769,6.8,0,7,0,711,596,0.0,0.0,50.0,34.083,132.526
1770,6.5,0,6,0,650,206,0.0,0.0,33.0,-4.029,128.02
1771,6.8,7,7,0,1441,67,0.0,31.0,51.798,47.149,-122.727
1772,7.1,0,7,0,776,426,0.0,0.0,35.0,1.271,126.249
1773,7.4,0,6,0,842,221,0.0,0.0,36.0,-4.68,102.562
1774,6.6,0,8,0,670,273,0.0,0.0,10.0,13.671,-88.938
1775,7.7,0,9,0,912,472,0.0,0.0,16.0,23.419,70.232
1776,6.9,0,6,0,732,117,0.0,0.0,28.0,-4.022,101.776
1777,7.7,0,8,0,912,427,0.0,0.0,60.0,13.049,-88.66
1778,6.9,5,7,0,745,0,0.0,0.0,36.4,56.7744,-153.281
1779,7.1,0,7,0,776,372,0.0,0.0,103.0,-14.928,167.17
1780,6.8,0,5,0,711,64,0.0,0.0,33.0,6.631,126.899
1781,7.5,0,7,0,865,324,0.0,0.0,33.0,6.898,126.579
